"","Adipocytes","B_cells","Chondrocytes","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","HSC","Keratinocytes","Macrophages","Melanocytes","Mesangial_cells","Monocytes","Myocytes","Neurons","Neutrophils","NK_cells","Pericytes","Skeletal_muscle","Smooth_muscle_cells","T_cells"
"1","PLIN1","IGJ","IGFBP3","CCL17","CDH5","DEFA1","LAMC2","HBG2","CXCL12","SPINK2","KRT5","TM4SF19","TYRP1","KRT19","FCN1","H19","PCP4","FCGR3B","SNORA5A","SCARNA16","CKM","THBS2","SNORA54"
"2","ADH1B","CD79A","ACAN","CCL22","VWF","DEFA1B","KRT19","HBB","COL1A2","NGFRAP1","KRT14","APOC1","PMEL","KRT8","LYZ","ANKRD1","PVALB","S100A12","SNORA20","PAPPA","ACTA1","MMP1","SNORD89"
"3","ADIPOQ","IGLL5","LUM","LAMP3","ECSCR","CLC","KRT7","HBG1","FBLN2","MZB1","KRT17","SPP1","DCT","LRRN4","S100A12","IGFBP2","CALB1","MNDA","GNLY","STC1","DES","COL1A2","CD3D"
"4","CIDEC","MZB1","PENK","CCL13","CLDN5","ALOX15","KRT8","HBA2","COL1A1","CTSW","S100A2","MSR1","TYR","PAX8","S100A8","PDLIM3","PCP2","CSF3R","RNU6ATAC","COL3A1","MB","COL3A1","LEF1"
"5","GPD1","MS4A1","SULF1","BIRC3","MMRN1","PRSS33","KRT17","AHSP","COL3A1","PRSS57","KRT6A","PLA2G7","MLANA","CDH6","S100A9","PLAT","GNG13","S100A8","SCARNA15","KRT18","TNNC1","COL6A3","IL7R"
"6","GPX3","VPREB3","COL12A1","CD86","ANGPT2","DEFA3","LAMB3","HBA1","CCDC80","KIAA0125","S100A14","ACP5","SLC24A5","C19ORF33","IL1B","MFAP5","STMN2","CXCR2","PRF1","COL1A1","NEB","COL1A1","ITK"
"7","RBP4","CD79B","CHI3L1","CD83","TIE1","LTF","CD24","HBD","COL6A3","CPA3","FGFBP1","TREM2","ABCB5","COL1A1","SNORA20","CCDC80","ALDOC","S100A9","GZMB","COL1A2","MYBPC1","SULF1","CD247"
"8","FABP4","CD22","DCN","CCR7","ESM1","MMP25","CLDN4","ALAS2","MXRA8","CD34","KRT6B","MMP9","OCA2","CD24","SNORD15B","LRRC17","DNER","TREM1","SNORD22","CLDN11","MYL1","CCDC80","SNORA20"
"9","CIDEA","DERL3","ABI3BP","BATF3","ROBO4","SIGLEC10","LAMA3","RHAG","FN1","CSF3R","ITGB4","APOE","SOX10","IGFBP2","CD300E","COL1A2","SPINK6","S100P","NKG7","MMP3","TTN","PLAT","LCK"
"10","LIPE","HLA-DOB","HAPLN1","CD274","TM4SF18","SPNS3","CDH3","GYPA","COL6A1","NFE2","SFN","LYZ","PLP1","PLAT","CLEC7A","ACTA2","GNG3","VNN2","SNORD94","STC2","TNNC2","SFRP1","SNORD94"
"11","LEP","CD19","EDIL3","TMEM176B","KDR","ADAM8","DSP","SLC4A1","CD248","HOPX","LAMC2","FABP4","LINC00473","KRT18","SERPINA1","COL3A1","GPRC5B","FPR1","SNORD15B","TFPI2","MYH7","FBLN2","TCF7"
