"","Adipocytes","Astrocytes","B_cells.Class.switched_memory","B_cells.Memory","Chondrocytes","CLP","CMP","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","GMP","HSC","Keratinocytes","Macrophages","Macrophages.M1","Macrophages.M2","Megakaryocytes","Melanocytes","MEP","Mesangial_cells","Monocytes","MPP","mv_Endothelial_cells","Myocytes","naive_B_cells","Neurons","Neutrophils","NK_cells","Pericytes","Plasma_cells","Preadipocytes","Skeletal_muscle","Smooth_muscle_cells","T_cells.CD4.","T_cells.CD4._central_memory","T_cells.CD4._effector_memory","T_cells.CD8.","T_cells.CD8._Central_memory","T_cells.CD8._effector_memory","T_cells.Tregs"
"1","ADH1B","ACTA2","SNORD89","SNORD89","IGFBP3","MPO","MPO","CCL17","CDH5","DEFA1","KRT19","HBG2","COL1A2","MPO","CRHBP","KRT5","TM4SF19","MMP9","FABP4","PPBP","TYRP1","GATA1","KRT19","FCN1","CRHBP","CDH5","H19","SNORD89","PCP4","FCGR3B","GNLY","SCARNA16","IGLL5","CLDN11","CKM","THBS2","SNORD89","SNORD22","SNORD89","DEFA1","SNORD22","GZMH","SNORD22"
"2","ADIPOQ","POSTN","SNORD22","SNORD22","LUM","IGJ","S100P","CCL22","VWF","DEFA1B","LAMC2","HBG1","COL1A1","IGLL1","SPINK2","KRT14","C1QA","CHI3L1","CCL22","PF4","PMEL","FAM178B","KRT8","S100A8","SPINK2","VWF","ANKRD1","TCL1A","PVALB","S100A12","GZMB","COL3A1","MIR650","COL6A3","DES","COL1A2","LEF1","SNORA5A","SNORD22","DEFA1B","SNORA5A","SNORA5A","RNU6ATAC"
"3","PLIN1","COL1A1","SNORA20","SNORA5A","ACAN","IGLL1","AZU1","CCL13","CLDN5","CLC","KRT7","HBB","COL3A1","SPINK2","MLLT3","KRT17","MMP9","TM4SF19","TM4SF19","HBD","DCT","PRSS57","COL1A1","S100A12","MLLT3","CLDN5","COL1A2","FCRL1","CALB1","S100A8","PRF1","COL1A1","IGJ","COL3A1","ACTA1","COL3A1","ITK","SNORA20","SNORA5A","S100A8","RNU6ATAC","SNORD22","SNORA5A"
"4","GPX3","COL1A2","SNORA5A","SNORA20","PENK","SPINK2","SNORD89","LAMP3","ECSCR","ALOX15","LAMB3","HBA2","COL6A3","MZB1","HOPX","S100A2","PLA2G7","SPP1","MSR1","SELP","TYR","HPGDS","PLAT","S100A9","CD34","ANGPT2","COL3A1","SNORD22","PCP2","S100A9","FGFBP2","COL1A2","DERL3","COL1A2","MB","COL6A3","CD3D","RNU6ATAC","SNORA20","DEFA4","CD8B","CD8B","SNORA20"
"5","GPD1","COL3A1","MS4A1","MS4A1","SULF1","DNTT","MS4A3","BATF3","MMRN1","MMP25","KRT8","AHSP","CCDC80","PROM1","KIAA0125","KRT6A","SPP1","APOC1","APOC1","CLEC1B","MLANA","CPA3","FN1","LYZ","MZB1","MMP1","PLAT","MS4A1","GNG13","CXCR2","KLRF1","STC2","RGS13","HIST2H2AA3","TNNC1","COL1A1","SNORA54","SNORD15B","RNU6ATAC","LTF","SNORA20","SNORA20","SNORD15B"
"6","CIDEC","TAGLN","SNORD94","SNORD94","COL12A1","ACY3","CFD","CD86","ANGPT2","PRSS33","KRT17","HBA1","DCN","CPA3","MZB1","S100A14","MSR1","MMP7","SPP1","RHAG","SLC24A5","SPINK2","CD24","IL1B","PROM1","ECSCR","CCDC80","SNORA20","STMN2","FPR1","NKG7","KRT18","CD79A","PAMR1","NEB","CCDC80","IL7R","SNORD94","SNORD15B","S100A9","SNORD94","SCARNA15","CTLA4"
"7","FABP4","CNN1","RNU6ATAC","RNU6ATAC","DCN","MZB1","PRSS57","TMEM176B","TIE1","DEFA3","CD24","ALAS2","CXCL12","KIAA0125","CD34","FGFBP1","SNORD104","CHIT1","TREM2","HGD","ABCB5","FCER1A","CDH6","SERPINA1","PRSS57","IFI27","STC2","SNORA5A","ALDOC","TREM1","SNORA5A","PAPPA","POU2AF1","COL6A1","MYL1","PLAT","NELL2","SCARNA15","SNORD94","CD8B","GZMK","GZMA","SNORD94"
"8","RBP4","IGFBP5","SNORD15B","SNORD15B","CHI3L1","KIAA0125","LYZ","CD274","ANKRD1","LTF","LAMA3","GYPA","FBLN2","PRSS57","NGFRAP1","SFN","APOC1","C15ORF48","IL1RN","RGS18","OCA2","IGLL1","IGFBP2","G0S2","HOPX","EFEMP1","IGFBP2","SCARNA15","DNER","MNDA","SNORA20","TFPI2","MZB1","COL1A1","MYBPC1","MMP1","CCR7","SNORA54","SNORA14B","CAMP","SCARNA15","CD8A","SCARNA15"
"9","PLIN4","IGFBP2","SNORA14B","SCARNA15","COL1A2","CPA3","MYB","CD83","EFEMP1","ADAM8","CDH3","HBD","MXRA8","CSF3R","WBP5","LAMC2","CHI3L1","APOE","MRC1","HBG2","PLP1","HDC","LRRN4","CLEC7A","HBG2","ESM1","TAGLN","SNORA6","SPINK6","CSF3R","GZMA","CLDN11","MEF2B","PRRX1","TNNC2","IGFBP5","CD247","SNORA38B","SCARNA15","SNORD89","SNORD15B","PRF1","CCR4"
"10","SAA1","THY1","SCARNA15","CD79A","COL3A1","CD34","RNASE2","MMP12","KDR","HK3","CLDN4","SLC4A1","COL6A1","AREG","AREG","ITGB4","GPNMB","LPL","LPL","LY6G6F","SOX10","NGFRAP1","C19ORF33","MS4A6A","KIAA0125","ANKRD1","PDLIM3","SNORD15B","GPRC5B","AQP9","GZMH","COL6A3","VPREB3","FN1","MYH7","FBN1","TRAT1","SNORA9","SNORA54","NELL2","CD8A","RNU6ATAC","RNU5F-1"
