"","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Epithelial_cells","Erythroblasts","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","MEP","Monocytes","MSC","Myelocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Platelets","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"1","PMP2","POU2AF1","DEFA4","HBBP1","DPT","CPA3","CCL18","ESRG","CDH5","ALDH3A1","HBBP1","MFAP5","NLRP4","DNTT","APOH","CXCR2","ESRG","KRTDAP","ADAMDEC1","KLF1","FCN1","RGS4","CEACAM8","DLK1","DLK1","CXCR2","GZMB","VCAM1","PF4V1","PLAT","TRAC","SRPX"
"2","LINC00461","MS4A1","CEACAM8","SPTA1","PENK","PRG2","MMP12","NTS","ESM1","KRT15","ALAS2","COMP","OOSP2","CPA3","ALB","FCGR3B","APELA","SPRR1A","DCSTAMP","CA1","MPEG1","GREM1","BPI","FOXG1","SOX11","FCGR3B","GNLY","ITGBL1","TUBB1","LRRC17","CD3D","DCN"
"3","GPM6A","CD19","CRISP3","AHSP","COMP","SPINK2","FPR3","L1TD1","HHIP","KRT5","CA3","MMP3","BTG4","PRTN3","GC","P2RY13","L1TD1","KRT6C","LPL","HBD","CD14","POSTN","DEFA4","DCX","H19","IGSF6","GZMH","COL15A1","FAM81B","LINC01279","ITK","POSTN"
"4","GRIA2","VPREB3","HBM","HBD","OGN","IGLL1","MRC1","APELA","ADGRL4","KRT13","ERFE","GREM1","TUBBP5","SPINK2","UGT2B4","VNN2","LIN28B","FLG2","MRC1","AHSP","MS4A7","LOX","LTF","FGFBP3","SIX3","CXCL1","KLRF1","COMP","PPBP","ABCA8","TRBC1","CTHRC1"
"5","LHFPL3","IGHM","PRG3","KLF1","SCRG1","AZU1","C1QC","LIN28A","MMP1","KRT6A","SPTA1","PSG5","DPPA5","IGLL1","APOC3","CX3CR1","LIN28A","SPRR1B","PLA2G7","SLC10A4","CX3CR1","COL1A1","CRISP3","SOX11","TUBB2B","CXCL8","CD247","MFAP5","CLEC1B","POSTN","CD2","COL6A3"
"6","GFAP","CD79A","MMP8","CA1","ASPN","CRHBP","CCL13","LEFTY1","ECSCR","PSCA","GYPB","LUM","BCAR4","C1QTNF4","CPB2","FPR1","SLC7A3","KRT6B","FBP1","IGLL1","LILRB2","COL6A3","MS4A3","SFRP2","HS6ST2","PI3","PRF1","TM4SF20","ELOVL7","COL3A1","KLRB1","LUM"
"7","SOX2-OT","JCHAIN","LTF","RHAG","COL12A1","MS4A3","CCL22","LIN28B","MMRN1","S100A2","EPB42","OXTR","OOEP","AZU1","FGG","PROK2","ZIC2","KRT6A","CHIT1","RYR3","MNDA","COL3A1","OLFM4","LHX2","LIN28B","IL1R2","KLRB1","TNFRSF11B","PF4","COL6A3","TRAT1","NNMT"
"8","FABP7","HLA-DOB","BPI","HBG2","ANGPTL7","PRTN3","F13A1","ZIC2","EDN1","FOXA1","GYPA","POSTN","C3ORF56","MS4A3","CYP2C8","S100A12","USP44","DSC1","CCL22","XK","S100A12","MMP1","VSTM1","LIN28B","TCEAL7","TREM1","NKG7","POSTN","ALOX12","FAP","CD3G","COL3A1"
"9","A2M","TCL1A","OLFM4","UCA1","GXYLT2","CLC","PLA2G7","SLC7A3","TIE1","SERPINB3","RHCE","DKK1","NLRP11","CTSG","ORM2","FCN1","DNMT3B","KRT1","CHI3L1","CYTL1","FGL2","PRRX1","TCN1","STMN2","ZNF423","MGAM","FGFBP2","LUM","BEND2","GREM1","IL7R","COL1A1"
"10","GAP43","NAPSB","IGLL1","KCNH2","CRLF1","MPO","C1QB","DNMT3B","EMCN","SLC6A14","AHSP","TNFRSF11B","GDF9","MPO","TDO2","C5AR1","ZIC3","LCE1B","MMP7","MYB","CCR2","COL1A2","CEACAM6","EMX2","TMSB15A","FPR1","GZMA","ABI3BP","F13A1","COL1A1","CD8A","COL1A2"
"11","SCG2","TNFRSF17","HBD","PVT1","PRELP","C1QTNF4","A2M","USP44","FABP4","CXCL17","CA1","LINC01279","ZP2","ELANE","ADH1B","MNDA","DPPA4","CRCT1","ACP5","NMU","CYBB","LOXL1","MMP8","FABP7","PTPRZ1","VNN2","KLRD1","COL6A3","MAP3K7CL","LUM","GZMA","LOX"
"12","C1ORF61","STAP1","MS4A3","EPB42","HAPLN1","CTSG","FCGR2B","DPPA4","KDR","KRT19","RHAG","CEMIP","ZP4","FLT3","FGB","TNFRSF10C","POU5F1P3","KRT2","MMP9","ITGA2B","APOBEC3A","ACTG2","CAMP","PAX6","FLRT3","S100A12","SH2D1B","COL3A1","SDPR","COL1A2","TRAJ41","SNAI2"
"13","DCX","RGS13","CAMP","XK","ABI3BP","ELANE","ALOX15","TUBB2B","TM4SF18","WFDC2","HBD","COL3A1","PCP4L1","AREG","PAH","MGAM","PODXL","KRT14","CCL18","ICAM4","CD163","OXTR","ARG1","OTX2","ZNF536","OSM","TRDC","THBS2","P2RY12","SRPX","LCK","OLFML3"
"14","RFX4","IGKC","AHSP","LXN","MGP","RNASE3","CD1B","ZIC3","MGP","SERPINB5","HEMGN","COL6A3","MAEL","RNASE2","TF","S100P","ESRP1","DSG1","SLAMF8","KCNH2","HCK","NNMT","LCN2","ID4","COL3A1","PROK2","IL2RB","LINC01279","SLC35D3","C1S","GIMAP7","ITGBL1"
"15","GPM6B","FCRLA","PRG2","HIST1H1D","DCN","RNASE2","FBP1","LRRN1","EFEMP1","SPRR1B","KLF1","DCN","ACTL8","KCNE5","SERPINC1","CD14","TUBB2B","FLG","SPP1","EPCAM","FPR1","KRT19","RGL4","LIN28A","POSTN","IL1B","CX3CR1","COL1A1","CCL5","LOXL1","GZMK","IGFBP3"
"16","SCRG1","CD79B","ALAS2","GFI1B","LUM","PROM1","ACP5","SFRP2","BMX","UPK1B","HBG2","LOX","CXORF67","RNASE3","RBP4","PF4","PTPRZ1","LOR","C1QA","MPO","TYROBP","CTHRC1","AZU1","TOX3","KIF5C","CLEC4E","EOMES","ECM2","ACSBG1","MGP","CCR7","CDH11"
"17","S100B","GPR18","S100A12","PKLR","OMD","SMIM24","IL4I1","PODXL","TM4SF1","GABRP","TUBG2","COL1A2","KHDC3L","NONAME844","AHSG","LILRB2","EPCAM","SPRR2A","A2M","HBB","C5AR1","MYL9","RNASE3","ZIC2","SCG2","CLC","CCL5","COL1A2","RGS18","ALDH1A3","GPR171","TAGLN"
"18","SALL1","CR2","FCGR3B","CYTL1","POSTN","FCER1A","C1QA","PTPRZ1","RGS5","TACSTD2","XK","HOXC6","TPRXL","PROM1","FABP1","S100A9","MAL2","CALML5","C15ORF48","SPTA1","NCF2","TAGLN","RETN","CRABP1","MEIS2","IL1A","KLRC3","DCN","SELP","ISLR","THEMIS","THBS2"
"19","FGFBP3","IGLL3P","TCN1","MYB","COL11A1","HPGDS","CLEC10A","ESRP1","CLEC14A","KRT4","SMIM1","COL1A1","PDE8B","SMIM24","HRG","CLC","LRRN1","SPINK5","C5AR1","RHAG","S100A9","LUM","RNASE2","TUBB2B","HAND1","P2RY13","SAMD3","COL11A1","MMRN1","FBN1","CD247","COL4A2"
"20","TMEM255A","P2RX5","CLC","ERFE","COL6A3","MYB","LAMP3","TOX3","MCAM","GJB2","YPEL4","SULF1","BCL2L10","EREG","UGT2B15","RGS18","SFRP2","KRT16","LILRB4","ELANE","S100A8","MIR100HG","S100P","PRTG","COL11A1","APOBEC3A","TXK","CDH13","XK","ADAMTS1","GIMAP6","TGFB1I1"
"21","PTPRZ1","BLNK","RNASE2","KIT","COL3A1","NONAME844","C15ORF48","MAL2","GNG11","ST6GALNAC1","GFI1B","NNMT","ARMC2","PRG2","AZGP1","CSF3R","TMSB15A","SBSN","IGSF6","EREG","RNASE6","COL12A1","FCN1","PTPRZ1","COL1A2","FFAR2","CTSW","GREM1","SLC24A3","MIR100HG","PVRIG","COL5A2"
"22","SOX11","IGHV3-21","ARG1","HBQ1","BGN","CYTL1","SPP1","EPCAM","TFPI2","KRT14","LXN","IL6","NLRP13","LYZ","ORM1","RNASE2","C9ORF135","SERPINB5","GPNMB","KIT","TLR8","LINC01279","CLC","TMSB15A","COL6A3","FPR2","ITK","VGLL3","CX3CR1","IGFBP6","RASGRP1","LOXL1"
"23","NONAME848","GUSBP11","LCN2","HBB","NNMT","FLT3","FCER2","C9ORF135","NNMT","KRT6C","TMEM56","FAP","SVOPL","JCHAIN","APOA2","NCF2","KRT19","LCE2B","TMEM176B","NFE2","CFP","CTGF","CLEC5A","SIX3","NEFM","BCL2A1","CCL4","FNDC1","NONAME404","TMEM200A","FCMR","COL5A1"
